# Goxel 0.10.5
# One line per voxel
# X Y Z RRGGBB
-5 0 0 5b6ee1
-4 0 0 3f3f74
-3 0 0 5b6ee1
-5 1 0 5b6ee1
-4 1 0 5b6ee1
-3 1 0 5b6ee1
-5 2 0 5b6ee1
-4 2 0 5b6ee1
-3 2 0 5b6ee1
-5 3 0 5b6ee1
-4 3 0 5b6ee1
-3 3 0 5b6ee1
-4 4 0 df7126
-6 0 1 ffffff
-5 0 1 5b6ee1
-4 0 1 5b6ee1
-3 0 1 5b6ee1
-2 0 1 ffffff
-5 1 1 5b6ee1
-4 1 1 5b6ee1
-3 1 1 5b6ee1
-6 2 1 df7126
-5 2 1 5b6ee1
-4 2 1 5b6ee1
-3 2 1 5b6ee1
-2 2 1 df7126
-5 3 1 5b6ee1
-4 3 1 5b6ee1
-3 3 1 5b6ee1
-5 4 1 5b6ee1
-4 4 1 df7126
-3 4 1 5b6ee1
-4 5 1 df7126
-6 0 2 000000
-5 0 2 5b6ee1
-4 0 2 5b6ee1
-3 0 2 5b6ee1
-2 0 2 000000
-5 1 2 5b6ee1
-4 1 2 5b6ee1
-3 1 2 5b6ee1
-5 2 2 5b6ee1
-4 2 2 5b6ee1
-3 2 2 5b6ee1
-5 3 2 5b6ee1
-4 3 2 5b6ee1
-3 3 2 5b6ee1
-4 4 2 df7126
-4 5 2 df7126
-4 6 2 df7126
-4 2 3 df7126
-4 3 3 df7126
-4 3 4 df7126
